priority,name,country_code,operator_type,application_status,application_note,has_explicit_deadline,typical_award_amount,typical_award_currency,max_cap_amount,max_cap_currency,last_verified,freshness,days_old,source_domain,source_url,source_description,flags,seed_line
4,Docubox Funding,KE,foundation,unknown,Docubox says its funding cycle is irregular and that filmmakers should watch its social channels for the next call.,no,,,,EUR,2026-04,current,-13,mydocubox.org,https://mydocubox.org/funding/,Docubox - Funding page,status_unknown;deadline_not_specific;missing_award_signal;generic_source_url,5498
3,Australia - Western Australian Production Attraction Incentive,AU,government,unknown,Screenwest markets the incentive as an ongoing attraction programme; producers are directed to discuss projects with the programme manager and apply under the published guidelines.,no,,,,AUD,2026-04,current,-13,www.screenwest.com.au,https://www.screenwest.com.au/funding-incentives/incentives/,Screenwest - Incentives / WA Production Attraction Incentive,status_unknown;deadline_not_specific;missing_award_signal,6773
3,Docs Up Fund,FR,foundation,unknown,The public site describes an ongoing funding and mentoring platform but does not publish a single universal open-call deadline on the overview page.,no,,,,EUR,2026-04,current,-13,docsupfunds.com,https://docsupfunds.com/about-us,Docs Up Fund - About us,status_unknown;deadline_not_specific;missing_award_signal,5480
3,ITVS Diversity Development Fund,US,government,open,The current ITVS funding portal lists the Diversity Development Fund as open.,no,,,,EUR,2026-04,current,-13,forms.itvs.org,https://forms.itvs.org/,ITVS documentary funding portal,deadline_not_specific;missing_award_signal;generic_source_url,6031
2,Australia - Western Australian PDV Incentive,AU,government,unknown,"As of 7 April 2026, Screenwest's published 2025 guidelines remain in force; producers apply through Screenwest before PDV work starts in Western Australia.",yes,,,,EUR,2026-04,current,-13,www.screenwest.com.au,https://www.screenwest.com.au/wp-content/uploads/2025/05/Western-Australian-Post-Digital-Visual-Effects-Incentive-Guidelines-2025.pdf,"Screenwest - Western Australian Post-Production, Digital & Visual Effects Incentive Guidelines (2025)",status_unknown;missing_award_signal,6794
2,screen.brussels fund,BE,government,unknown,"screen.brussels runs three funding sessions each year, in January, May, and September; submissions close at 17:00 Brussels time on the session deadline.",yes,,,,EUR,2026-04,current,-13,screen.brussels,https://screen.brussels/en/fund-your-project,screen.brussels fund - Fund your project / Fund request guidance,status_unknown;missing_award_signal,2427
2,World Cinema Fund Classic,DE,festival,unknown,Usually two submission processes take place each year; the submission form goes live four to six weeks before each deadline.,no,,,60000.0,EUR,2026-04,current,-13,www.berlinale.de,https://www.berlinale.de/en/wcf/funding-programmes/production-support/wcf-classic.html,Berlinale World Cinema Fund - WCF Classic,status_unknown;deadline_not_specific,6551
2,World Cinema Fund Europe,DE,festival,unknown,Usually two submission processes take place each year; the submission form goes live four to six weeks before each deadline.,no,,,60000.0,EUR,2026-04,current,-13,www.berlinale.de,https://www.berlinale.de/en/wcf/funding-programmes/production-support/wcf-europe.html,Berlinale World Cinema Fund - WCF Europe,status_unknown;deadline_not_specific,6572
2,BFI NETWORK England feature treatment funding,GB,government,closed,The BFI says the next funding round will launch after summer 2023 and the page is currently closed.,no,,,,GBP,2026-04,current,-13,www.bfi.org.uk,https://www.bfi.org.uk/get-funding-support/bfi-network/bfi-network-england-feature-treatment-funding,BFI NETWORK England feature treatment funding,deadline_not_specific;missing_award_signal,2049
2,Israel Film Fund - Feature Film Investment Schemes,IL,foundation,unknown,The fund states there is no dedicated co-production track; co-productions apply through the regular central or debut feature production routes.,no,2000000.0,ILS,2000000.0,ILS,2026-04,current,-13,www.filmfund.org.il,https://www.filmfund.org.il/Upload/Media/Tinymce/Files/IFF%20en2024.pdf,The Investment Schemes of the Israel Film Fund (2024),status_unknown;deadline_not_specific,5046
